timesteps,Building01::Rede_interna:N_B01::power,Building02::Rede_interna:N_B01::power,Building03::Rede_interna:N_B01::power,Building04::Rede_interna:N_B01::power,Building05::Rede_interna:N_B01::power,Building06::Rede_interna:N_B01::power,Building07::Rede_interna:N_B01::power,Building08::Rede_interna:N_B01::power,Building09::Rede_interna:N_B01::power,Building10::Rede_interna:N_B01::power
2017-01-01 00:00:00,0.023,0.489,0.033,0.039,0.082,0.326,0.786,0.016,0.238,0.084
2017-01-01 00:30:00,0.046,0.49,0.075,0.04,0.099,0.224,0.759,0.013,0.442,0.082
2017-01-01 01:00:00,0.02,0.493,0.031,0.086,0.088,0.132,0.771,0.008,0.395,0.125
2017-01-01 01:30:00,0.042,0.494,0.084,0.133,0.104,0.203,0.727,0.016,0.283,0.118
2017-01-01 02:00:00,0.032,0.503,0.095,0.064,0.077,0.063,0.711,0.033,0.45,0.159
2017-01-01 02:30:00,0.031,0.504,0.106,0.036,0.077,0.05,0.576,0.024,0.913,0.136
2017-01-01 03:00:00,0.328,0.495,0.099,0.036,0.055,0.056,0.481,0.016,1.168,0.159
2017-01-01 03:30:00,0.604,0.48,0.042,0.036,0.153,0.107,0.338,0.011,0.435,0.132
2017-01-01 04:00:00,0.049,0.471,0.071,0.036,0.086,0.062,0.34,0.01,0.028,0.09
2017-01-01 04:30:00,0.022,0.469,0.028,0.048,0.112,0.085,0.404,0.016,0.04,0.087
2017-01-01 05:00:00,0.047,0.487,0.076,0.073,0.076,0.089,0.186,0.016,0.041,0.094
2017-01-01 05:30:00,0.024,0.495,0.037,0.036,0.077,0.238,0.122,0.017,0.256,0.099
2017-01-01 06:00:00,0.043,0.471,0.064,0.061,0.043,0.065,0.154,0.038,0.028,0.099
2017-01-01 06:30:00,0.03,0.471,0.054,0.049,0.068,0.094,0.122,0.013,0.042,0.071
2017-01-01 07:00:00,0.035,0.467,0.097,0.018,0.069,0.073,0.091,0.01,0.042,0.056
2017-01-01 07:30:00,0.036,0.472,0.12,0.018,0.063,0.049,0.102,0.016,0.028,0.05
2017-01-01 08:00:00,0.029,0.475,0.074,0.018,0.05,0.05,0.086,0.016,0.239,0.067
2017-01-01 08:30:00,0.042,0.518,0.079,0.053,0.046,0.061,0.167,0.01,0.041,0.077
2017-01-01 09:00:00,0.023,0.485,0.034,0.041,0.061,0.051,0.241,0.011,0.029,0.081
2017-01-01 09:30:00,0.046,0.492,0.068,0.045,0.065,0.254,0.209,0.015,0.042,0.096
2017-01-01 10:00:00,0.02,0.525,0.05,0.15,0.169,0.076,0.229,0.036,0.029,0.077
